Month, Year, Rate
May 22, 2019 ,2.39
May 1, 2019 ,2.45
Apr 1, 2019 ,2.53
Mar 1, 2019 ,2.57
Feb 1, 2019 ,2.68
Jan 1, 2019 ,2.71
Dec 1, 2018 ,2.83
Nov 1, 2018 ,3.12
Oct 1, 2018 ,3.15
Sep 1, 2018 ,3.00
Aug 1, 2018 ,2.89
Jul 1, 2018 ,2.89
Jun 1, 2018 ,2.91
May 1, 2018 ,2.98
Apr 1, 2018 ,2.87
Mar 1, 2018 ,2.84
Feb 1, 2018 ,2.86
Jan 1, 2018 ,2.58
Dec 1, 2017 ,2.40
Nov 1, 2017 ,2.35
Oct 1, 2017 ,2.36
Sep 1, 2017 ,2.20
Aug 1, 2017 ,2.21
Jul 1, 2017 ,2.32
Jun 1, 2017 ,2.19
May 1, 2017 ,2.30
Apr 1, 2017 ,2.18
Mar 1, 2017 ,2.48
Feb 1, 2017 ,2.42
Jan 1, 2017 ,2.43
Dec 1, 2016 ,2.49
Nov 1, 2016 ,2.14
Oct 1, 2016 ,1.76
Sep 1, 2016 ,1.63
Aug 1, 2016 ,1.56
Jul 1, 2016 ,1.50
Jun 1, 2016 ,1.64
May 1, 2016 ,1.81
Apr 1, 2016 ,1.81
Mar 1, 2016 ,1.89
Feb 1, 2016 ,1.78
Jan 1, 2016 ,2.09
Dec 1, 2015 ,2.24
Nov 1, 2015 ,2.26
Oct 1, 2015 ,2.07
Sep 1, 2015 ,2.17
Aug 1, 2015 ,2.17
Jul 1, 2015 ,2.32
Jun 1, 2015 ,2.36
May 1, 2015 ,2.20
Apr 1, 2015 ,1.93
Mar 1, 2015 ,2.04
Feb 1, 2015 ,1.98
Jan 1, 2015 ,1.88
Dec 1, 2014 ,2.21
Nov 1, 2014 ,2.33
Oct 1, 2014 ,2.30
Sep 1, 2014 ,2.53
Aug 1, 2014 ,2.42
Jul 1, 2014 ,2.54
Jun 1, 2014 ,2.60
May 1, 2014 ,2.56
Apr 1, 2014 ,2.71
Mar 1, 2014 ,2.72
Feb 1, 2014 ,2.71
Jan 1, 2014 ,2.86
Dec 1, 2013 ,2.90
Nov 1, 2013 ,2.72
Oct 1, 2013 ,2.62
Sep 1, 2013 ,2.81
Aug 1, 2013 ,2.74
Jul 1, 2013 ,2.58
Jun 1, 2013 ,2.30
May 1, 2013 ,1.93
Apr 1, 2013 ,1.76
Mar 1, 2013 ,1.96
Feb 1, 2013 ,1.98
Jan 1, 2013 ,1.91
Dec 1, 2012 ,1.72
Nov 1, 2012 ,1.65
Oct 1, 2012 ,1.75
Sep 1, 2012 ,1.72
Aug 1, 2012 ,1.68
Jul 1, 2012 ,1.53
Jun 1, 2012 ,1.62
May 1, 2012 ,1.80
Apr 1, 2012 ,2.05
Mar 1, 2012 ,2.17
Feb 1, 2012 ,1.97
Jan 1, 2012 ,1.97
Dec 1, 2011 ,1.98
Nov 1, 2011 ,2.01
Oct 1, 2011 ,2.15
Sep 1, 2011 ,1.98
Aug 1, 2011 ,2.30
Jul 1, 2011 ,3.00
Jun 1, 2011 ,3.00
May 1, 2011 ,3.17
Apr 1, 2011 ,3.45
Mar 1, 2011 ,3.41
Feb 1, 2011 ,3.58
Jan 1, 2011 ,3.39
Dec 1, 2010 ,3.29
Nov 1, 2010 ,2.76
Oct 1, 2010 ,2.54
Sep 1, 2010 ,2.65
Aug 1, 2010 ,2.70
Jul 1, 2010 ,3.01
Jun 1, 2010 ,3.20
May 1, 2010 ,3.42
Apr 1, 2010 ,3.85
Mar 1, 2010 ,3.73
Feb 1, 2010 ,3.69
Jan 1, 2010 ,3.73
Dec 1, 2009 ,3.59
Nov 1, 2009 ,3.40
Oct 1, 2009 ,3.39
Sep 1, 2009 ,3.40
Aug 1, 2009 ,3.59
Jul 1, 2009 ,3.56
Jun 1, 2009 ,3.72
May 1, 2009 ,3.29
Apr 1, 2009 ,2.93
Mar 1, 2009 ,2.82
Feb 1, 2009 ,2.87
Jan 1, 2009 ,2.52
Dec 1, 2008 ,2.42
